Designator,Mid X,Mid Y,Rotation,Layer
J22,71.750001,-102.425,0.0,top
J23,70.680002,-92.64,0.0,top
J24,95.692858,-102.425,0.0,top
J25,106.555,-84.3,0.0,top
J26,94.602859,-92.64,0.0,top
J27,119.635715,-102.425,0.0,top
J28,118.540002,-92.64,0.0,top
J29,142.488573,-92.64,0.0,top
J30,143.578572,-102.425,0.0,top
J31,166.43143,-92.64,0.0,top
J32,167.521429,-102.425,0.0,top
J33,190.374287,-92.64,0.0,top
J34,191.464286,-102.425,0.0,top
J35,202.115,-84.3,0.0,top
J36,215.407143,-102.425,0.0,top
J37,214.317144,-92.64,0.0,top
J38,238.260001,-92.64,0.0,top
J39,239.35,-102.425,0.0,top
