Designator,Mid X,Mid Y,Rotation,Layer
C1,127.5,-142.24,270.0,top
C2,136.68,-142.77,90.0,top
C3,151.02,-142.75,90.0,top
C4,141.5,-140.35,270.0,top
C5,173.7,-141.65,0.0,top
D1,109.38,-140.7175,90.0,top
D10,224.886664,-136.8875,270.0,top
D11,235.086664,-136.825,270.0,top
D12,222.366664,-136.9,270.0,top
D13,232.486664,-136.9,270.0,top
D14,219.817776,-136.9,270.0,top
D15,237.686664,-136.85,270.0,top
D16,217.268888,-136.9,270.0,top
D17,214.72,-136.9,270.0,top
D18,229.886664,-136.9,270.0,top
D19,227.386664,-136.9,270.0,top
D2,203.72,-136.8,270.0,top
D3,198.634285,-136.8,270.0,top
D4,201.177142,-136.8,270.0,top
D5,188.462857,-136.8,270.0,top
D6,185.92,-136.8,270.0,top
D7,196.091428,-136.8,270.0,top
D8,193.548571,-136.8,270.0,top
D9,191.005714,-136.8,270.0,top
J1,70.17,-142.5575,90.0,top
J10,110.860714,-112.675,270.0,top
J11,122.067856,-114.99,180.0,top
J12,145.939284,-114.99,180.0,top
J13,134.803571,-112.6625,270.0,top
J14,169.810712,-114.99,180.0,top
J15,158.746428,-112.675,270.0,top
J16,193.68214,-114.99,180.0,top
J17,182.689285,-112.675,270.0,top
J18,206.632142,-112.675,270.0,top
J19,217.553568,-114.99,180.0,top
J2,100.8,-139.2,180.0,top
J20,241.425,-114.99,180.0,top
J21,230.575,-112.675,270.0,top
J22,71.750001,-102.425,90.0,top
J23,70.680002,-92.64,0.0,top
J24,95.692858,-102.425,90.0,top
J25,106.555,-84.3,90.0,top
J26,94.602859,-92.64,0.0,top
J27,119.635715,-102.425,90.0,top
J28,118.540002,-92.64,0.0,top
J29,142.488573,-92.64,0.0,top
J3,117.5,-139.2,180.0,top
J30,143.578572,-102.425,90.0,top
J31,166.43143,-92.64,0.0,top
J32,167.521429,-102.425,90.0,top
J33,190.374287,-92.64,0.0,top
J34,191.464286,-102.425,90.0,top
J35,202.115,-84.3,90.0,top
J36,215.407143,-102.425,90.0,top
J37,214.317144,-92.64,0.0,top
J38,238.260001,-92.64,0.0,top
J39,239.35,-102.425,90.0,top
J4,194.715,-142.1,90.0,top
J5,226.125,-142.1,90.0,top
J6,74.325,-114.99,180.0,top
J7,62.975,-112.675,270.0,top
J8,86.917857,-112.675,270.0,top
J9,98.196428,-114.99,180.0,top
R1,109.41,-137.3375,90.0,top
R10,201.177142,-133.3375,90.0,top
R11,193.548571,-133.3375,270.0,top
R12,185.92,-133.3375,270.0,top
R13,196.091428,-133.3375,270.0,top
R14,198.634285,-133.3375,270.0,top
R15,203.72,-133.3375,90.0,top
R16,191.005714,-133.3375,270.0,top
R17,188.462857,-133.3375,270.0,top
R18,214.72,-133.4,270.0,top
R19,235.08,-133.365,270.0,top
R2,162.724285,-136.76,90.0,top
R20,237.668888,-133.375,270.0,top
R21,217.264444,-133.4,270.0,top
R22,232.464444,-133.4,270.0,top
R23,222.353332,-133.4,270.0,top
R24,224.895556,-133.3875,270.0,top
R25,219.808888,-133.4,270.0,top
R26,227.391112,-133.4,270.0,top
R27,229.886664,-133.4,270.0,top
R3,173.34571,-136.76,90.0,top
R4,169.09714,-136.76,90.0,top
R5,171.221425,-136.76,90.0,top
R6,175.47,-136.76,90.0,top
R7,166.972855,-136.76,90.0,top
R8,164.84857,-136.76,90.0,top
R9,160.6,-136.76,90.0,top
U1,132.0625,-138.685,90.0,top
U2,146.2,-140.55,270.0,top
U3,168.0825,-143.98,270.0,top
