Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,41.000000,-107.750000,90.000000,top
C2,0.1uF,C_0805_2012Metric,55.500000,-110.300000,0.000000,top
C3,0.1uF,C_0805_2012Metric,41.600000,-116.015868,180.000000,top
C4,0.1uF,C_0805_2012Metric,55.400000,-115.900000,0.000000,top
C5,10uF,C_0805_2012Metric,135.400000,-104.000000,90.000000,top
C6,10uF,C_0805_2012Metric,67.100000,-127.100000,-90.000000,top
C7,22uF,C_0805_2012Metric,135.400000,-100.600000,90.000000,top
C8,22uF,C_0805_2012Metric,64.700000,-127.100000,-90.000000,top
C9,0.1uF,C_0805_2012Metric,172.700000,-113.000000,0.000000,top
C10,0.1uF,C_0805_2012Metric,166.400000,-113.200000,0.000000,top
C11,0.1uF,C_0805_2012Metric,172.500000,-101.000000,0.000000,top
C12,0.1uF,C_0805_2012Metric,167.250000,-100.800000,0.000000,top
C13,0.1uF,C_0805_2012Metric,46.192000,-93.450002,180.000000,top
C14,0.1uF,C_0805_2012Metric,200.400000,-103.350000,-90.000000,top
C15,0.1uF,C_0805_2012Metric,211.100000,-97.600000,90.000000,top
C16,0.1uF,C_0805_2012Metric,205.000000,-111.600000,-90.000000,top
C17,0.1uF,C_0805_2012Metric,212.200000,-110.800000,0.000000,top
C18,0.1uF,C_0805_2012Metric,115.099916,-101.450000,90.000000,top
C19,0.1uF,C_0805_2012Metric,115.099916,-97.600000,-90.000000,top
C20,0.1uF,C_0805_2012Metric,123.099916,-101.200000,90.000000,top
C21,0.1uF,C_0805_2012Metric,123.099916,-97.400000,-90.000000,top
C22,0.1uF,C_0805_2012Metric,106.899916,-101.800000,90.000000,top
C23,0.1uF,C_0805_2012Metric,106.899916,-97.900000,-90.000000,top
C24,0.1uF,C_0805_2012Metric,135.900000,-91.700000,180.000000,top
D1,HSMA-C170,LED_0805_2012Metric,150.100000,-103.600000,90.000000,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,114.920000,-127.600000,90.000000,top
J2,Conn_02x12_Odd_Even,IDC-Header_2x12_P2.54mm_Vertical,31.400000,-90.160000,0.000000,top
J3,436500200,CONN_SD-43650-001_02_MOL,48.4666,-122.241901,0.000000,top
J4,Conn_02x12_Odd_Even,IDC-Header_2x12_P2.54mm_Vertical,156.000000,-125.000000,90.000000,top
J5,Red Banana,CONN-TH_24.243.2_Better_Silkscreen,76.000000,-117.000000,-90.000000,top
J6,Black Banana,CONN-TH_24.243.2_Better_Silkscreen,91.000000,-117.000000,-90.000000,top
J7,Conn_02x12_Odd_Even,IDC-Header_2x12_P2.54mm_Vertical,205.000000,-125.000000,90.000000,top
J8,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,53.000000,-88.000000,-90.000000,top
J9,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,78.000000,-88.000000,-90.000000,top
J10,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,103.000000,-88.000000,-90.000000,top
J11,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,128.000000,-88.000000,-90.000000,top
J12,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,168.000000,-88.000000,-90.000000,top
J13,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,193.000000,-88.000000,-90.000000,top
J14,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,218.000000,-88.000000,-90.000000,top
J15,Conn_02x06_Odd_Even,PinSocket_2x06_P2.54mm_Horizontal,243.000000,-88.000000,-90.000000,top
R1,10k,R_0805_2012Metric,115.300000,-124.800000,180.000000,top
R2,10k,R_0805_2012Metric,119.500000,-124.800000,0.000000,top
R3,2.2k,R_0805_2012Metric,150.100000,-100.200000,90.000000,top
R4,10k,R_0805_2012Metric,49.600000,-103.000000,-90.000000,top
R5,10k,R_0805_2012Metric,45.600000,-103.000000,-90.000000,top
R6,10k,R_0805_2012Metric,43.600000,-103.000000,-90.000000,top
R7,10k,R_0805_2012Metric,47.600000,-103.000000,-90.000000,top
R8,10k,R_0805_2012Metric,55.800000,-87.400000,-90.000000,top
R9,10k,R_0805_2012Metric,80.900000,-87.600000,-90.000000,top
R10,10k,R_0805_2012Metric,105.900000,-87.500000,-90.000000,top
R11,10k,R_0805_2012Metric,130.800000,-87.587500,-90.000000,top
R12,10k,R_0805_2012Metric,152.600000,-88.300000,-90.000000,top
R13,10k,R_0805_2012Metric,177.600000,-88.700000,-90.000000,top
R14,10k,R_0805_2012Metric,202.500000,-86.800000,-90.000000,top
R15,10k,R_0805_2012Metric,226.700000,-88.000000,180.000000,top
T1,TestPoint,HARWIN_S1751-46R,208.300000,-114.400000,90.000000,top
T2,TestPoint,HARWIN_S1751-46R,216.700000,-113.200000,90.000000,top
T3,TestPoint,HARWIN_S1751-46R,164.200000,-99.300000,90.000000,top
T4,TestPoint,HARWIN_S1751-46R,161.200000,-101.000000,-90.000000,top
T5,TestPoint,HARWIN_S1751-46R,158.300000,-103.900000,-90.000000,top
T6,TestPoint,HARWIN_S1751-46R,64.200000,-102.800000,180.000000,top
T7,TestPoint,HARWIN_S1751-46R,60.200000,-102.800000,180.000000,top
T8,TestPoint,HARWIN_S1751-46R,56.200000,-105.200000,180.000000,top
T9,TestPoint,HARWIN_S1751-46R,56.500000,-98.300000,180.000000,top
T10,TestPoint,HARWIN_S1751-46R,56.500000,-93.800000,180.000000,top
T11,TestPoint,HARWIN_S1751-46R,52.300000,-93.800000,180.000000,top
T12,TestPoint,HARWIN_S1751-46R,52.300000,-98.300000,0.000000,top
T13,TestPoint,HARWIN_S1751-46R,134.900000,-95.800000,0.000000,top
T14,TestPoint,HARWIN_S1751-46R,64,-109.3,0,top
U1,SN74AUC16244DGGR,DGG48,48.099149,-113.050000,180.000000,top
U2,SN74AUC16244DGGR,DGG48,169.000000,-107.000000,-90.000000,top
U3,AZ1084CD-3.3TRG1,TO-252-3_TabPin2,142.900000,-102.100000,0.000000,top
U4,AMS1117-1.8,SOT-223-3_TabPin2,64.800000,-120.750000,90.000000,top
U5,SN74AUC16244DGGR,DGG48,208.149865,-104.951983,90.000000,top
U6,CD74HC4051PWR,PW16,45.321000,-97.325001,0.000000,top
U7,TXU0104PWR,TSSOP_0104PWR_TEX,126.899916,-100.400000,90.000000,top
U8,TXU0104PWR,TSSOP_0104PWR_TEX,110.849930,-100.605500,90.000000,top
U9,TXU0104PWR,TSSOP_0104PWR_TEX,119.049958,-100.452750,90.000000,top
U10,CD74HC4051PWR,PW16,140.574999,-93.321000,90.000000,top
