Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
S1,SMA_CONNECTOR,HJ-SMA993,108.48,-95.66,0,top
S2,SMA_CONNECTOR,HJ-SMA993,133.88,-95.66,0,top
S3,SMA_CONNECTOR,HJ-SMA993,159.28,-95.66,0,top
S4,SMA_CONNECTOR,HJ-SMA993,184.68,-95.66,0,top
S5,SMA_CONNECTOR,HJ-SMA993,235.48,-95.66,0,top
S6,SMA_CONNECTOR,HJ-SMA993,260.65,-95.66,0,top
S7,SMA_CONNECTOR,HJ-SMA993,286.28,-95.66,0,top
S8,SMA_CONNECTOR,HJ-SMA993,311.68,-95.66,0,top
J1,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,107.114999,-102.645,180,bottom
J2,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,132.514999,-102.645,180,bottom
J3,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,157.914999,-102.645,180,bottom
J4,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,183.314999,-102.645,180,bottom
J5,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,234.114999,-102.645,180,bottom
J6,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,259.514999,-102.645,180,bottom
J7,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,284.914999,-102.645,180,bottom
J8,B2B-PH-K-SLFSN,CONN_B2B-PH-K-SLFSN_JST,310.314999,-102.645,180,bottom
R1,0,R_0805_2012Metric,101.495,-95.66,0,bottom
R2,0,R_0805_2012Metric,126.768,-95.66,0,bottom
R3,0,R_0805_2012Metric,152.168,-95.66,0,bottom
R4,0,R_0805_2012Metric,177.5191,-95.66,0,bottom
R5,0,R_0805_2012Metric,228.368,-95.66,0,bottom
R6,0,R_0805_2012Metric,253.6175,-95.5838,0,bottom
R7,0,R_0805_2012Metric,279.168,-95.66,0,bottom
R8,0,R_0805_2012Metric,304.568,-95.4314,0,bottom
